config-benchmark,Config_ID,Bench_ID,Core.Area,Core.Leakage,Core.Dynamic,IFU.Dynamic,IC.Dynamic,BTB.Dynamic,BP.Dynamic,GP.Dynamic,L1_LP.Dynamic,L2_LP.Dynamic,Chooser.Dynamic,RAS.Dynamic,Inst_Buff.Dynamic,Inst_Dec.Dynamic,RNU.Dynamic,Int_RRAT.Dynamic,FP_RRAT.Dynamic,Free_List.Dynamic,FP_List.Dynamic,LSU.Dynamic,DC.Dynamic,LDQ.Dynamic,STQ.Dynamic,MMU.Dynamic,Itlb.Dynamic,Dtlb.Dynamic,EXU.Dynamic,RF.Dynamic,Int_RF.Dynamic,FP_RF.Dynamic,Ins_Sche.Dynamic,Inst_Win.Dynamic,FP_Win.Dynamic,ROB.Dynamic,Int_ALU.Dynamic,FPU.Dynamic,Com_ALU.Dynamic,Rslt_BB.Dynamic,fetchWidth,decodeWidth,FetchBufferEntry,RobEntrry,IntPhysRegister,FpPhysRegister,LdqEntry,StqEntry,BrCount,MemIssueWidth,IntIssueWidth,FpIssueWidth,DCacheWay,DCacheMSHR,DCacheTLBEntry,ICacheWay,ICacheTLBEntry,ICachefetchBytes,ipc_total,cpi_total,numCycles,idleCycles,BTBLookups,condPredicted,condIncorrect,int_insts,fp_insts,loads,function_calls,SquashedInsts,commitInsts,commit_per_cycle,commitRefs,branches,dec.RunCycles,dec.BlockedCycles,DecodedInsts,dtb.accesses,dtb.misses,fetch.Insts,fetch.Branches,fetch.Cycles,iew.exec_refs,iew.exec_stores,iew.ExecutedInsts,iew.wb_count,iew.exec_branches,iq.issued_per_cycle,int_inst_que_reads,int_inst_que_writes,int_inst_que_wakeup,fp_inst_que_reads,fp_inst_que_writes,fp_inst_que_wakeup,int_alu_accesses,fp_alu_accesses,FU_total,FU_MemRead,FU_MemWrite,FU_FpMemRead,FU_FpMemWrite,FU_IntAlu,FU_IntMult,FU_IntDiv,FU_FpMult,FU_FpDiv,fu_busy_cnt ,itb.accesses,itb.misses,mem.conflictLoads,mem.conflictStores,mem.insertLoads,mem.insertStores,int_rename_lookups,RenamedOperands,fp_rename_lookups,RenamedInsts,rename.RunCycles,rename.BlockCycles,rename.Maps,rob_reads,rob_writes,l2.accesses,l2.misses,l2.tags.refs,mem_ctrls.reads,mem_ctrls.writes,mem_ctrls.bytes_read,icache.accesses,icache.misses,icache.mshr_hits,icache.mshr_misses,icache.tags_refs,icache.tag_accesses,dcache.Reads,dcache.Writes,dcache.Readmisses,dcache.Writemisses,dcache.accesses,dcache.misses,dcache.mshr_hits,dcache.mshr_misses,dcache.tags_refs,dcache.tags_accesses,int_regfile_reads,fp_regfile_reads,int_regfile_writes,fp_regfile_writes
GigaBoomConfig-qurt.riscv,0,50,0.950513,0.00389489,0.0377354,0.0157996,0.00656575,0.00531731,0.000514125,0.000126228,0.000152888,8.37E-05,0.000126228,2.51E-05,0.00172345,0.00159913,0.00231356,0.00137906,0.000514673,0.000201025,5.91E-05,0.009535,0.00791348,0.000513882,0.00102776,0.00011981,0,0,0.00996737,0.00297323,0.00194414,0.0010291,0.00542011,0.00155737,0.00071514,0.0031476,0.000423365,0.00102287,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.191555,0.83924,281079,597,43354,40251,1502,284745,151040,104237,14117,55405,334921,272678,151403,44103,55304,153571,401300,0,0,425931,57431,184662,165129,50201,362875,360666,46859,280482,708109,269238,203716,336523,176540,156950,221143,178098,364073,50320,26448,64964,24097,129647,3,1,8472,5387,0,0,0,83760,16307,121993,54207,385975,305166,147147,397692,76558,88947,257769,653068,788463,55,27,92,64,0,4096,92808,54,13,41,92794,742504,54800,47166,17,25,101966,42,28,14,101938,815742,345554,137474,158119,122879
GigaBoomConfig-recursion.riscv,0,51,0.950513,0.00389489,0.0347788,0.0165984,0.0081318,0.00499289,0.000402376,9.10E-05,0.000116333,6.21E-05,9.10E-05,4.19E-05,0.00155172,0.00143978,0.00205232,0.00162819,3.99E-09,0.000264362,9.27E-09,0.00778354,0.00656801,0.000378552,0.000757104,0.00011981,0,0,0.00822473,0.00238154,0.00238172,1.80E-07,0.00504561,0.002136,0,0.00290961,0.00066978,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.910198,1.098662,5746,653,857,503,206,5230,0,1074,481,2148,5230,4720,1840,832,2367,250,8505,0,0,9035,1409,2082,2304,860,6481,6236,1017,5093,18989,9531,6236,0,0,0,7152,0,6701,1483,894,0,0,4319,3,1,0,0,0,0,0,342,6,1526,967,9266,6505,147147,8020,2260,221,4113,12069,15132,45,29,71,58,0,3648,2245,40,11,29,2233,17988,943,766,19,41,1709,60,44,16,1665,13688,7419,137474,5024,122879
GigaBoomConfig-rsort.riscv,0,52,0.950513,0.00389489,0.0530058,0.0132763,0.00613625,0.00123445,0.000126192,3.25E-05,3.93E-05,2.15E-05,3.25E-05,4.49E-07,0.00295639,0.00274312,0.00341932,0.00280688,8.34E-11,0.000452698,1.94E-10,0.021211,0.0175064,0.00120823,0.00241646,0.00011981,0,0,0.0149794,0.00515587,0.00515587,3.76E-09,0.00834466,0.00368213,0,0.00466253,0.00135103,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.212345,0.452009,275095,2991,10269,10128,381,608605,0,227805,247,4190,608605,271369,300418,9775,57715,110524,614783,0,0,618096,10849,184419,301573,72796,610713,610339,10020,272104,1574118,617139,610339,0,0,0,690683,0,611231,228945,72918,0,0,309353,4,1,0,0,0,0,0,91026,13528,229201,73217,765033,530603,0,614004,102733,22400,526464,849337,1226341,619,259,1014,654,0,41856,84425,221,46,175,84379,675575,153891,72613,398,1051,226504,1449,1005,444,225499,1812476,760515,0,528013,0
GigaBoomConfig-rv64ua-ps-amoadd_d_200,0,53,0.950513,0.00389489,0.0241721,0.0118413,0.0038918,0.00442553,0.000643,0.00016626,0.000200458,0.00010993,0.00016626,9.24E-08,0.00145296,0.00134815,0.00162214,0.0012589,4.24E-09,0.000203476,9.84E-09,0.00281786,0.0023693,0.000122898,0.000245796,0.00011981,0,0,0.00777099,0.0023109,0.00231109,1.91E-07,0.0046603,0.00206688,0,0.00259342,0.00067199,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.072774,0.932163,5414,66,193,1034,12,5807,0,400,1,136,5808,5324,1000,1002,547,3712,6033,0,0,6186,1035,4216,1006,601,5889,5888,1024,5348,18025,6083,5888,0,0,0,6761,0,5912,806,202,0,0,4902,0,0,0,0,0,0,0,398,0,406,608,6752,4701,18039,5956,767,2980,4606,11068,11912,5,3,11,9,0,576,1045,6,1,5,1043,8364,402,200,1,1,602,2,1,1,1001,8017,6701,17495,4664,17495
GigaBoomConfig-rv64ud-ps-fclass_200,0,54,0.950513,0.00389489,0.0456166,0.0235894,0.00699123,0.00858775,0.00127953,0.000331088,0.000398546,0.000218722,0.000331088,8.63E-08,0.00344994,0.00320107,0.00361892,0.00262826,0.000341719,0.000443679,4.55E-05,7.99E-05,0,0,0,0.00011981,0,0,0.0182086,0.00568571,0.00491575,0.000770324,0.00974711,0.00356338,0.00081839,0.00536535,0.00153356,0.00111438,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.589371,0.386194,5796,115,196,2214,6,15007,4000,0,1,49,15008,5671,0,2202,1566,1763,15083,0,0,15174,2215,3533,0,0,15026,15025,2207,5681,33236,11091,11024,8002,4016,4001,16518,4001,15028,0,0,0,0,11025,0,0,0,0,0,0,0,0,0,0,0,15056,12844,2005,15063,2542,3,12806,20134,30124,6,2,10,6,0,384,2022,7,1,6,2021,16182,402,200,1,1,602,2,1,1,0,0,15031,2000,10818,2001
GigaBoomConfig-rv64ud-ps-move_200,0,55,0.950513,0.00389489,0.0379732,0.0168846,0.00634774,0.00352353,0.000540142,0.00013978,0.00016824,9.23E-05,0.00013978,6.54E-09,0.00331628,0.00307705,0.00329609,0.00221484,0.000443571,0.000412599,6.53E-05,7.99E-05,0,0,0,0.00011981,0,0,0.0175928,0.00549673,0.00454699,0.000949766,0.00941748,0.00361372,0.000675983,0.00512777,0.00155657,0.000994251,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.485227,0.402378,76455,1003,577,12334,25,179607,42800,0,1,1009,190008,75313,0,12202,10400,21855,191211,0,0,191876,12335,49684,0,0,190553,190552,12232,75452,444366,148837,147679,89961,43190,42873,221159,47088,190554,0,0,0,0,147679,0,0,0,0,0,0,0,0,0,0,0,166415,178848,34206,191136,34693,113,177806,251015,382173,61,21,103,63,0,4032,24271,64,3,61,24268,194229,402,200,1,1,602,2,1,1,0,0,165929,34042,147070,31251
GigaBoomConfig-rv64ud-ps-structural_200,0,56,0.950513,0.00389489,0.046834,0.0274368,0.00862698,0.0126923,0.000915126,0.000221412,0.000266778,0.000146344,0.000221412,5.92E-05,0.0026571,0.00246542,0.00301751,0.00177772,0.000700551,0.000289514,9.00E-05,7.99E-05,0,0,0,0.00011981,0,0,0.0161801,0.00464033,0.00277359,0.00186691,0.00749425,0.00164257,0.00157136,0.00428031,0.000484194,0.0034335,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.99434,0.501419,11837,262,4413,3016,24,20806,14000,0,1401,60,23607,11556,0,4401,1983,4880,23724,0,0,23844,4425,6217,0,0,23636,23635,4401,11575,31866,9722,9635,39178,14006,14000,10651,25176,23638,0,0,0,0,9636,0,0,1400,0,0,0,0,0,0,0,0,20838,20644,8405,23673,3863,113,20606,34825,47353,14,5,24,15,0,960,5054,33,19,14,5034,40445,402,200,1,1,602,2,1,1,0,0,20835,8400,9435,11200
GigaBoomConfig-rv64ui-ps-add_200,0,57,0.950513,0.00389489,0.0371779,0.0198866,0.00616436,0.00756516,0.00104763,0.000271105,0.000326319,0.000179089,0.000271105,1.14E-08,0.00260891,0.00242071,0.0029952,0.00244415,5.22E-10,0.000391301,1.21E-09,7.99E-05,0,0,0,0.00011981,0,0,0.0140963,0.00446848,0.0044685,2.35E-08,0.00791806,0.00366809,0,0.00424997,0.00158201,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.957575,0.510836,43936,301,3185,13745,32,86007,0,0,1,484,86008,43562,0,13602,393,17142,86572,0,0,86965,13746,29554,0,0,86126,86125,13630,43635,259163,86977,86125,0,0,0,129169,0,86147,0,0,0,0,86145,0,0,0,0,0,0,0,0,0,0,0,106436,72831,8405,86529,17362,40,72406,130054,173057,22,8,38,24,0,1536,13544,36,14,22,13530,108374,402,200,1,1,602,2,1,1,0,0,105955,8400,72496,11200
GigaBoomConfig-rv64ui-ps-auipc_200,0,58,0.950513,0.00389489,0.042131,0.0270236,0.00642034,0.0146882,0.00114772,0.000270718,0.000326385,0.000178992,0.000270718,0.000100909,0.00243146,0.00225606,0.00225846,0.00177111,1.15E-08,0.000327562,2.68E-08,7.99E-05,0,0,0,0.00011981,0,0,0.0126493,0.00360558,0.0036061,5.20E-07,0.00744619,0.00344058,0,0.00400561,0.00146971,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.815803,0.550721,1987,66,607,618,7,3607,0,0,401,60,3608,1910,0,1002,61,744,3711,0,0,3786,1027,1234,0,0,3628,3627,1008,1921,10994,3729,3627,0,0,0,5427,0,3631,0,0,0,0,3629,0,0,0,0,0,0,0,0,0,0,0,3460,3047,8405,3672,749,3,3006,5578,7347,3,1,5,3,0,192,629,5,2,3,627,5035,402,200,1,1,602,2,1,1,0,0,3431,8400,3021,11200
GigaBoomConfig-rv64ui-ps-bne_200,0,59,0.950513,0.00389489,0.0464968,0.0293464,0.0074863,0.0148336,0.00194775,0.000503985,0.000606783,0.000332974,0.000503985,1.93E-08,0.00259296,0.00240591,0.00308575,0.00255999,8.86E-10,0.000366006,2.06E-09,7.99E-05,0,0,0,0.00011981,0,0,0.013865,0.0042516,0.00425164,3.99E-08,0.00791439,0.00365763,0,0.00425676,0.00157121,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.938982,0.515735,25894,111,5921,15049,56,50207,0,0,1,836,50208,25651,0,14402,707,9909,51346,0,0,51824,15050,15790,0,0,50411,50410,14473,25783,152163,51881,50410,0,0,0,75607,0,50461,0,0,0,0,50459,0,0,0,0,0,0,0,0,0,0,0,66066,36381,8405,51230,10402,75,35806,76695,102220,13,5,23,15,0,960,9669,35,22,13,9647,77365,402,200,1,1,602,2,1,1,0,0,64882,8400,35938,11200
