config-benchmark,Config_ID,Bench_ID,Core.Area,Core.Leakage,Core.Dynamic,IFU.Dynamic,IC.Dynamic,BTB.Dynamic,BP.Dynamic,GP.Dynamic,L1_LP.Dynamic,L2_LP.Dynamic,Chooser.Dynamic,RAS.Dynamic,Inst_Buff.Dynamic,Inst_Dec.Dynamic,RNU.Dynamic,Int_RRAT.Dynamic,FP_RRAT.Dynamic,Free_List.Dynamic,FP_List.Dynamic,LSU.Dynamic,DC.Dynamic,LDQ.Dynamic,STQ.Dynamic,MMU.Dynamic,Itlb.Dynamic,Dtlb.Dynamic,EXU.Dynamic,RF.Dynamic,Int_RF.Dynamic,FP_RF.Dynamic,Ins_Sche.Dynamic,Inst_Win.Dynamic,FP_Win.Dynamic,ROB.Dynamic,Int_ALU.Dynamic,FPU.Dynamic,Com_ALU.Dynamic,Rslt_BB.Dynamic,fetchWidth,decodeWidth,FetchBufferEntry,RobEntrry,IntPhysRegister,FpPhysRegister,LdqEntry,StqEntry,BrCount,MemIssueWidth,IntIssueWidth,FpIssueWidth,DCacheWay,DCacheMSHR,DCacheTLBEntry,ICacheWay,ICacheTLBEntry,ICachefetchBytes,ipc_total,cpi_total,numCycles,idleCycles,BTBLookups,condPredicted,condIncorrect,int_insts,fp_insts,loads,function_calls,SquashedInsts,commitInsts,commit_per_cycle,commitRefs,branches,dec.RunCycles,dec.BlockedCycles,DecodedInsts,dtb.accesses,dtb.misses,fetch.Insts,fetch.Branches,fetch.Cycles,iew.exec_refs,iew.exec_stores,iew.ExecutedInsts,iew.wb_count,iew.exec_branches,iq.issued_per_cycle,int_inst_que_reads,int_inst_que_writes,int_inst_que_wakeup,fp_inst_que_reads,fp_inst_que_writes,fp_inst_que_wakeup,int_alu_accesses,fp_alu_accesses,FU_total,FU_MemRead,FU_MemWrite,FU_FpMemRead,FU_FpMemWrite,FU_IntAlu,FU_IntMult,FU_IntDiv,FU_FpMult,FU_FpDiv,fu_busy_cnt ,itb.accesses,itb.misses,mem.conflictLoads,mem.conflictStores,mem.insertLoads,mem.insertStores,int_rename_lookups,RenamedOperands,fp_rename_lookups,RenamedInsts,rename.RunCycles,rename.BlockCycles,rename.Maps,rob_reads,rob_writes,l2.accesses,l2.misses,l2.tags.refs,mem_ctrls.reads,mem_ctrls.writes,mem_ctrls.bytes_read,icache.accesses,icache.misses,icache.mshr_hits,icache.mshr_misses,icache.tags_refs,icache.tag_accesses,dcache.Reads,dcache.Writes,dcache.Readmisses,dcache.Writemisses,dcache.accesses,dcache.misses,dcache.mshr_hits,dcache.mshr_misses,dcache.tags_refs,dcache.tags_accesses,int_regfile_reads,fp_regfile_reads,int_regfile_writes,fp_regfile_writes
GigaBoomConfig-add_fp.riscv,0,0,0.950513,0.00389489,0.0440961,0.0223438,0.008232,0.0091907,0.00110546,0.000278767,0.000340338,0.00018558,0.000278767,2.20E-05,0.00193778,0.001798,0.00266316,0.00219271,1.18E-07,0.000310572,1.31E-08,0.00863788,0.00740744,0.000383521,0.000767043,0.00011981,0,0,0.0103314,0.00316687,0.00316661,2.73E-07,0.00610773,0.00265735,1.99E-07,0.00345017,0.000928751,2.71E-07,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.317777,0.758854,208366,6444,55444,64447,5409,274570,35,38375,9172,49248,274580,192981,70096,56572,92565,22584,353080,0,0,382201,79419,103711,74133,32941,295919,294458,61137,201922,868009,373290,294423,70,35,35,359630,35,303454,42351,33927,10,5,226179,586,347,0,0,0,0,0,20860,14184,44898,36839,455549,246167,25,343335,98823,6159,195459,511999,656625,482,221,803,542,0,34688,85042,499,103,396,84939,680732,39170,31721,63,202,70891,265,179,86,70712,567214,392796,25,211994,25
GigaBoomConfig-add_fp_large.riscv,0,1,0.950513,0.00389489,0.0395705,0.0186231,0.00663696,0.00755111,0.000896396,0.000226463,0.000276246,0.000150691,0.000226463,1.65E-05,0.00179407,0.00166465,0.00240171,0.00189101,7.12E-05,0.000271671,8.05E-06,0.00877045,0.00752598,0.000388198,0.000776396,0.00011981,0,0,0.00965549,0.00293758,0.00277647,0.000161119,0.00565913,0.00234342,0.000107306,0.0032084,0.000785188,0.0001458,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.241551,0.805444,277536,6675,61232,69904,5509,334575,25010,58370,9177,50183,344575,261859,100091,61582,98899,74132,425411,0,0,451473,85102,166796,104812,43328,366995,365205,66457,270861,1028075,419807,340145,50130,25276,25060,404970,25066,374213,57637,39108,5031,5002,251484,592,299,0,0,0,0,0,35146,21750,65229,46852,522944,301978,20117,415035,111183,35946,250449,651457,798548,483,227,808,552,0,35328,91406,506,109,397,91297,731645,54490,41721,73,220,96211,293,207,86,96004,769774,459211,20024,247165,20054
GigaBoomConfig-add_int.riscv,0,2,0.950513,0.00389489,0.0488383,0.0244049,0.00880036,0.0109799,0.00101939,0.000246686,0.000299841,0.000163827,0.000246686,6.23E-05,0.00182862,0.0016967,0.00229902,0.00188122,1.57E-10,0.000258049,3.64E-10,0.0124972,0.0107278,0.000563174,0.00112635,0.00011981,0,0,0.00951742,0.00290097,0.00290097,7.07E-09,0.00562973,0.00248854,0,0.00314119,0.000858926,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.315135,0.760378,146201,3444,38647,40518,2336,192274,0,42054,18230,11876,192274,140113,73746,52022,72742,13367,214185,0,0,227040,62346,71879,75324,31962,197858,196724,53697,142757,577848,216104,196724,0,0,0,233365,0,200925,43966,32441,0,0,123332,6,971,0,0,0,0,0,606,199,44194,32809,274625,138897,20117,209809,71599,6258,126790,337044,410946,243,117,409,283,0,18112,64146,243,48,195,64097,513362,40505,31692,35,93,72197,128,80,48,72117,577624,259370,20024,130334,20054
GigaBoomConfig-add_int_large.riscv,0,3,0.950513,0.00389489,0.0444457,0.0215099,0.00794962,0.00927051,0.000917288,0.000224043,0.000272909,0.000148965,0.000224043,4.73E-05,0.00170793,0.00158472,0.00222109,0.00181071,1.17E-10,0.000250635,2.72E-10,0.0115719,0.00981353,0.000559508,0.00111902,0.00011981,0,0,0.00902297,0.00273386,0.00273387,5.29E-09,0.00537977,0.00235163,0,0.00302813,0.000781543,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.2152,0.82291,195474,3159,47165,48903,3443,237540,0,58108,18502,22664,237540,187752,97854,56647,79473,41629,275517,0,0,298673,72845,106873,100587,40314,246750,245378,59062,192315,728544,282904,245378,0,0,0,283904,0,250911,61470,40845,0,0,147338,5,1044,0,0,0,0,0,18792,9191,63807,42197,353275,182082,20117,269103,83521,20892,159649,439909,524977,243,118,420,295,0,18880,77635,234,39,195,77596,621275,48360,39746,34,102,88106,136,88,48,88018,704896,324606,20024,166120,20054
GigaBoomConfig-adpcm_dec.riscv,0,4,0.950513,0.00389489,0.0309977,0.0125076,0.00600403,0.00314338,0.00025411,5.97E-05,7.32E-05,3.98E-05,5.97E-05,2.18E-05,0.00156973,0.00145649,0.00215655,0.00172461,6.96E-11,0.000272199,1.62E-10,0.00722301,0.00588981,0.000417779,0.000835557,0.00011981,0,0,0.00899072,0.00266796,0.00266797,3.13E-09,0.00538412,0.00234698,0,0.00303714,0.000810845,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.954626,1.04753,329575,975,32674,21526,2417,314621,0,81607,14380,122683,314621,312431,119856,29029,67513,189819,458968,0,0,520176,47501,223386,142552,42568,383829,382635,35372,328600,1214249,560170,382635,0,0,0,496617,0,388812,100881,42969,0,0,213343,23752,7866,0,0,0,0,0,80877,11232,116017,54350,563771,375767,20117,451340,85996,132805,261723,740362,890784,126,55,210,139,0,8896,99242,157,58,99,99184,794035,51343,38249,23,78,89592,101,74,27,89518,716763,472609,20024,326357,20054
GigaBoomConfig-adpcm_enc.riscv,0,5,0.950513,0.00389489,0.0309599,0.0124872,0.00598767,0.00314486,0.000255231,6.00E-05,7.35E-05,4.00E-05,6.00E-05,2.18E-05,0.00156629,0.00145331,0.00215934,0.00172716,6.93E-11,0.000272434,1.61E-10,0.00721985,0.00588717,0.000417601,0.000835203,0.00011981,0,0,0.0089737,0.00266378,0.00266378,3.12E-09,0.00537448,0.0023416,0,0.00303289,0.000807643,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.95369,1.048559,330988,1112,32852,21720,2454,315660,0,81953,14403,122785,315660,313568,120294,29154,64896,193227,461348,0,0,524957,47777,224719,143031,42573,384854,383612,35351,329876,1216501,561447,383612,0,0,0,496777,0,389625,101380,43104,0,0,213498,23780,7862,0,0,0,0,0,81050,11374,116428,54462,567044,377518,20117,453945,85103,128938,262568,742666,893207,132,57,217,142,0,9088,99383,162,60,102,99323,795166,51580,38341,41,44,89921,85,55,30,89866,719398,473910,20024,327225,20054
GigaBoomConfig-basicmath_small.riscv,0,6,0.950513,0.00389489,0.02946,0.010422,0.00537709,0.00226717,0.000329631,8.39E-05,0.000102794,5.60E-05,8.39E-05,2.99E-06,0.00122842,0.0011398,0.00195646,0.00147035,9.93E-05,0.000215549,1.15E-05,0.00958248,0.00802545,0.000492386,0.000984772,0.00011981,0,0,0.00737927,0.00203578,0.00187149,0.000164299,0.0045935,0.00170755,0.000147467,0.00273848,0.000455624,0.000166559,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.835672,1.196642,237275,2212,18710,21904,2249,192532,19529,70001,1417,77462,198284,224191,106761,14049,33278,142681,293027,0,0,363086,24391,163646,115995,38326,215926,214942,14769,235063,632175,317294,192947,47529,36587,21995,200904,24481,219058,66763,35703,12132,3968,93583,3,1,2239,480,0,0,0,87618,43007,98542,51360,347301,214909,23973,284884,51722,74195,148892,499165,562394,214,87,356,229,0,14656,63484,287,101,186,63382,508057,51234,36760,61,51,87994,112,84,28,87910,703980,260139,17085,146308,17804
GigaBoomConfig-binarysearch.riscv,0,7,0.950513,0.00389489,0.0236235,0.00984746,0.00446796,0.00245684,0.000131368,2.63E-05,3.26E-05,1.77E-05,2.63E-05,2.84E-05,0.00140644,0.00130498,0.00162472,0.00125135,8.61E-10,0.000213621,2.00E-09,0.00448073,0.00354907,0.000283929,0.000567857,0.00011981,0,0,0.0075508,0.00233694,0.00233698,3.88E-08,0.0044977,0.00195893,0,0.00253877,0.000588361,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.029352,0.971485,26642,540,1520,745,133,27424,0,4163,1514,1088,27424,25889,6764,2154,2818,16387,29144,0,0,30391,2570,19563,6936,2622,27976,27925,2258,26102,83460,29616,27925,0,0,0,29130,0,28161,4328,2681,0,0,20546,3,602,0,0,0,0,0,1692,883,4352,2765,32930,25284,23973,28915,5162,7214,24183,53487,57238,48,23,80,55,0,3520,5879,43,8,35,5870,47066,1588,2601,13,29,4189,42,29,13,4160,33525,31678,17085,24649,17804
GigaBoomConfig-bitcount.riscv,0,8,0.950513,0.00389489,0.0392835,0.0153665,0.00730551,0.00360672,0.000405421,9.99E-05,0.000123149,6.69E-05,9.99E-05,1.56E-05,0.00205876,0.00191024,0.00266558,0.00216927,1.17E-09,0.00033656,2.72E-09,0.0102775,0.00826399,0.00064453,0.00128906,0.00011981,0,0,0.0108541,0.00339694,0.00339699,5.28E-08,0.00638482,0.00274624,0,0.00363858,0.000944551,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.393806,0.71746,19568,1039,1810,2111,301,27274,0,7345,609,5200,27274,17655,11003,2222,6429,5048,34706,0,0,36964,3276,10019,12062,3905,29797,29536,2544,18529,83307,37768,29536,0,0,0,34348,0,30277,8287,4066,0,0,17885,19,19,0,0,0,0,0,5156,1539,8677,4521,42140,27202,23973,33993,7682,1466,22003,49765,65838,99,47,158,106,0,6784,6959,89,22,67,6937,55739,3640,3658,45,93,7298,138,106,32,7192,58416,36542,17085,23969,17804
GigaBoomConfig-bitonic.riscv,0,9,0.950513,0.00389489,0.0474526,0.0184575,0.00910647,0.00406799,0.000355449,8.18E-05,0.000102834,5.53E-05,8.18E-05,3.37E-05,0.00251454,0.00233315,0.00329613,0.00270034,1.37E-09,0.000436039,3.18E-09,0.012172,0.00995856,0.000711197,0.00142239,0.00011981,0,0,0.0134071,0.00412172,0.00412178,6.17E-08,0.00790986,0.00340117,0,0.00450869,0.00124775,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.600263,0.624897,16736,674,1820,1389,391,26782,0,6789,1129,8857,26782,14752,10104,2100,8716,2174,38678,0,0,41001,3280,7244,11746,3786,31196,30979,2472,16062,86982,44538,30979,0,0,0,38807,0,31628,8020,3980,0,0,19623,3,1,0,0,0,0,0,4150,797,8736,4882,44773,31121,23973,37659,9130,947,22496,49446,72590,56,31,89,66,0,4096,7511,61,21,40,7489,60127,4342,3315,21,48,7657,69,53,16,7604,61272,36399,17085,26187,17804
GigaBoomConfig-branchy.riscv,0,10,0.950513,0.00389489,0.0212977,0.00945738,0.00349855,0.00352617,0.000377279,9.65E-05,0.000116986,6.40E-05,9.65E-05,3.26E-06,0.00102471,0.000950792,0.00137778,0.00106422,1.04E-09,0.000153815,2.41E-09,0.00357164,0.00253594,0.000318611,0.000637222,0.00011981,0,0,0.00677107,0.00170423,0.00170427,4.67E-08,0.00402943,0.00201044,0,0.00201899,0.000909611,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.696038,1.436704,22108,544,2473,2416,100,15388,0,4040,144,2232,15388,21182,6084,2176,1110,15957,18162,0,0,18993,2857,17262,6803,2312,16896,16813,2378,21564,76064,19862,16813,0,0,0,37371,0,17026,4511,2333,0,0,9158,8,1015,0,0,0,0,0,2313,172,4587,2378,23437,13190,23973,17918,2600,3956,11312,37815,35622,37,22,62,50,0,3136,3809,32,7,25,3801,30496,328,2044,11,20,2372,31,19,12,2353,18988,22073,17085,12413,17804
GigaBoomConfig-branchy_large.riscv,0,11,0.950513,0.00389489,0.0211808,0.00913085,0.00309442,0.00353472,0.000346291,8.88E-05,0.000107055,5.87E-05,8.88E-05,2.88E-06,0.0010766,0.00099894,0.00133239,0.00101956,2.25E-10,0.000153086,5.23E-10,0.00359591,0.00252708,0.000329651,0.000659303,0.00011981,0,0,0.00700185,0.00176061,0.00176062,1.01E-08,0.00414973,0.00208928,0,0.00206045,0.000963715,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.793797,1.259768,101822,294,10446,10398,102,80826,0,20040,586,2119,80826,101169,30084,10617,5121,78835,83482,0,0,84300,11249,85257,30711,10317,82232,82164,10799,101528,366356,85074,82164,0,0,0,182356,0,82387,20448,10329,0,0,46592,2,5015,0,0,0,0,0,15260,5126,20543,10371,103226,62606,23973,83279,11782,53797,60751,179124,166249,36,18,64,46,0,2944,15786,31,6,25,15780,126313,758,10044,13,27,10802,40,29,11,10773,86427,101876,17085,61776,17804
GigaBoomConfig-bsort.riscv,0,12,0.950513,0.00389489,0.063502,0.0182203,0.00711747,0.00402465,0.000527373,0.000136071,0.000164109,9.00E-05,0.000136071,1.14E-06,0.00335653,0.00311439,0.00399536,0.00331661,2.12E-10,0.000519002,4.92E-10,0.0240745,0.0198927,0.00136732,0.00273464,0.00011981,0,0,0.017092,0.00589232,0.00589233,9.55E-09,0.00948557,0.00417292,0,0.00531265,0.00158635,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.496307,0.400592,108175,725,6361,16895,224,270038,0,107732,246,5790,270038,106599,133479,16530,29495,36534,277742,0,0,281803,17431,67875,135134,26000,272653,272187,16674,107450,699343,281652,272187,0,0,0,318900,0,272884,109188,26091,0,0,137601,1,2,0,0,0,0,0,52142,106,109755,26497,356015,233539,23973,276888,44627,3518,228007,376996,552508,52,28,86,63,0,4032,38650,48,13,35,38636,309234,77144,25747,9,45,102891,54,37,17,102854,823145,350272,17085,229957,17804
GigaBoomConfig-bubblesort.riscv,0,13,0.950513,0.00389489,0.0637604,0.0181374,0.00708793,0.00395007,0.000517822,0.000133762,0.000161245,8.84E-05,0.000133762,6.20E-07,0.00337252,0.00312923,0.00400737,0.0033271,1.08E-10,0.000520516,2.51E-10,0.0243335,0.0201117,0.00138065,0.0027613,0.00011981,0,0,0.0171623,0.00592595,0.00592595,4.87E-09,0.00951856,0.00418665,0,0.00533191,0.00158995,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.512402,0.398025,212177,645,12042,32619,344,533074,0,213309,263,9745,533074,210160,264488,31941,56424,73952,545580,0,0,552813,33174,134715,267521,51637,537485,536506,32110,211532,1376319,552591,536506,0,0,0,626917,0,537791,215975,51734,0,0,269774,306,1,0,0,0,0,0,103475,210,216887,52440,700515,459314,23973,544201,86128,7164,450217,742858,1087010,70,32,119,81,0,5184,75605,53,13,40,75591,604879,152796,51179,40,62,203975,102,72,30,203903,1631830,691273,17085,453342,17804
GigaBoomConfig-cnt.riscv,0,14,0.950513,0.00389489,0.0275109,0.01147,0.00505074,0.00296657,0.000240397,5.64E-05,6.96E-05,3.78E-05,5.64E-05,2.02E-05,0.00162482,0.00150761,0.00203607,0.00161322,1.29E-09,0.000263105,2.99E-09,0.00510674,0.00425895,0.000255974,0.000511947,0.00011981,0,0,0.00877825,0.00281664,0.0028167,5.81E-08,0.00509632,0.00223712,0,0.0028592,0.000737488,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.174104,0.851714,17794,822,1483,1081,160,20892,0,2500,720,1495,20892,16708,3978,1586,2565,8943,23304,0,0,24550,2062,11769,4171,1520,21519,21442,1664,16972,63185,23896,21442,0,0,0,24387,0,21729,2666,1621,0,0,17137,3,301,0,0,0,0,0,979,843,2715,1681,28424,20118,23973,22954,4339,3500,18548,37896,45050,56,28,93,65,0,4160,4402,46,7,39,4395,35255,2009,1478,10,53,3487,63,46,17,3441,27913,26425,17085,19045,17804
GigaBoomConfig-complex_updates.riscv,0,15,0.950513,0.00389489,0.0319208,0.0117636,0.00647672,0.00200898,0.000289895,7.17E-05,9.15E-05,4.89E-05,7.17E-05,6.08E-06,0.00150846,0.00139964,0.00210634,0.00148868,0.000212138,0.000220987,2.48E-05,0.0096545,0.00832254,0.000417364,0.000834727,0.00011981,0,0,0.00827661,0.00241795,0.00199566,0.00042287,0.00477161,0.00168648,0.000343976,0.00274115,0.000528527,0.000430731,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.934143,1.070499,3538,707,267,246,96,3097,899,871,43,1052,3305,2653,1445,174,1246,315,4956,0,0,5407,474,1031,1658,647,3861,3804,256,2831,9404,4300,2887,1888,1131,917,3475,944,4011,536,465,489,243,2060,3,2,65,0,0,0,0,280,37,1074,793,5240,3561,763,4703,1218,150,2600,6865,8894,59,30,99,70,0,4480,1024,48,9,39,1015,8231,749,574,25,55,1323,80,60,20,1263,10604,4138,662,2324,677
GigaBoomConfig-compress.riscv,0,16,0.950513,0.00389489,0.0417046,0.0163394,0.00612192,0.00586371,0.000522113,0.00012535,0.000154068,8.38E-05,0.00012535,3.36E-05,0.00194609,0.0018057,0.00244677,0.00200331,2.78E-09,0.000283704,6.46E-09,0.0127453,0.0110033,0.000554039,0.00110808,0.00011981,0,0,0.0100533,0.00310381,0.00310393,1.25E-07,0.00588509,0.00259021,0,0.00329487,0.000936651,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.374318,0.727634,8247,1116,1224,1125,141,11334,0,1587,554,1043,11334,6946,4031,1532,3503,1203,13045,0,0,13545,1876,3738,4212,2481,11853,11758,1633,7131,33600,13424,11758,0,0,0,14355,0,12062,1761,2547,0,0,7749,3,1,0,0,0,0,0,5,0,1763,2649,16473,8898,763,12792,3477,137,7912,19212,24939,133,66,212,145,0,9280,2345,73,21,52,2324,18812,1591,2444,8,441,4035,449,368,81,3667,32361,15169,662,8284,677
GigaBoomConfig-countnegative.riscv,0,17,0.950513,0.00389489,0.0335233,0.0140683,0.00601135,0.00379074,0.000287725,6.66E-05,8.14E-05,4.44E-05,6.66E-05,2.88E-05,0.00202224,0.00187636,0.0024381,0.00195679,1.03E-09,0.000321561,2.39E-09,0.00615622,0.00512382,0.000317509,0.000635018,0.00011981,0,0,0.0107409,0.00352515,0.00352519,4.63E-08,0.00611651,0.00272035,0,0.00339617,0.000971451,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.487566,0.672239,22317,628,2104,1640,155,33198,0,4063,1287,1418,33198,21437,6342,2702,2629,10679,35481,0,0,37336,3215,14257,6496,2305,33765,33694,2793,21689,96015,36040,33694,0,0,0,40289,0,33918,4204,2348,0,0,26957,4,404,0,0,0,0,0,1592,873,4269,2393,43224,31014,763,35112,6315,2628,29504,53677,69485,74,36,120,82,0,5248,6627,48,11,37,6616,53053,2973,2279,14,173,5252,187,150,37,5102,42053,41415,662,29949,677
GigaBoomConfig-cover.riscv,0,18,0.950513,0.00389489,0.0296719,0.0159365,0.00855017,0.00437313,0.00049982,0.000119634,0.000154331,8.21E-05,0.000119634,2.41E-05,0.00126231,0.00117125,0.00180514,0.00141443,2.72E-09,0.000230948,6.31E-09,0.00479532,0.0039136,0.00026728,0.00053456,0.00011981,0,0,0.00701506,0.00188622,0.00188634,1.22E-07,0.00444273,0.0018838,0,0.00255893,0.00055832,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.514692,1.94291,8440,912,1561,940,461,4344,0,1137,407,4916,4344,6782,1565,801,3024,601,10748,0,0,13793,2549,2955,3024,849,7503,7284,1184,7528,24408,14182,7284,0,0,0,8757,0,8007,2299,904,0,0,4795,4,4,0,0,0,0,0,383,0,2373,963,11820,8383,763,10415,2975,499,3522,15916,19270,104,46,171,113,0,7232,3350,105,25,80,3324,26879,1065,428,53,17,1493,70,46,24,1447,11968,8387,662,6055,677
GigaBoomConfig-crc.riscv,0,19,0.950513,0.00389489,0.0378605,0.0170279,0.00843243,0.00448743,0.000479712,0.000118886,0.000145477,7.92E-05,0.000118886,1.72E-05,0.0018406,0.00170782,0.00244395,0.00196434,4.29E-10,0.000319864,9.95E-10,0.00819216,0.00678511,0.000442395,0.00088479,0.00011981,0,0,0.0100767,0.00298583,0.00298585,1.93E-08,0.00612456,0.00255724,0,0.00356733,0.000838561,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.256975,0.795561,53515,861,7152,7013,686,67267,0,13963,1843,18963,67267,49914,21087,6977,16511,19618,91192,0,0,102043,10210,28266,22348,7355,73277,73188,7671,52654,210309,105231,73188,0,0,0,83395,0,74028,15210,7457,0,0,51356,3,1,0,0,0,0,0,13259,5146,17452,8952,104099,73470,763,89272,19976,7164,55009,134987,175202,79,38,133,92,0,5888,22553,65,17,48,22536,180472,9629,7124,12,143,16753,155,124,31,16629,134055,84313,662,60660,677
GigaBoomConfig-dhrystone.riscv,0,20,0.950513,0.00389489,0.0585363,0.0219095,0.00868711,0.00692832,0.000484447,0.000108557,0.000131391,7.19E-05,0.000108557,6.40E-05,0.0029721,0.0027577,0.00333899,0.00275115,1.32E-10,0.000428092,3.07E-10,0.0182766,0.0150516,0.00104838,0.00209677,0.00011981,0,0,0.0148913,0.00488469,0.00488469,5.95E-09,0.00844908,0.00375969,0,0.00468939,0.00142978,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.211446,0.452193,173713,4542,23175,21436,712,384157,0,102689,22240,5491,384157,168189,164294,42411,75219,39640,392922,0,0,396454,44715,89332,165379,61895,387089,386702,42877,169171,1019020,395251,386702,0,0,0,461562,0,388022,103680,62084,0,0,218698,3026,520,0,0,0,0,0,42962,10557,103848,62474,474370,307909,0,391727,87276,12080,302381,537730,780293,493,237,796,540,0,34560,75068,347,76,271,74992,600815,56875,61605,60,1109,118480,1169,947,222,117533,948062,468157,0,304523,0
GigaBoomConfig-duff.riscv,0,21,0.950513,0.00389489,0.0333904,0.0123905,0.0063634,0.00257931,0.000335594,8.42E-05,0.000105341,5.68E-05,8.42E-05,4.97E-06,0.00157288,0.00145942,0.00224634,0.00181764,5.18E-09,0.000268938,1.20E-08,0.010183,0.00827517,0.000609319,0.00121864,0.00011981,0,0,0.0084508,0.00255718,0.00255741,2.33E-07,0.00507234,0.00214612,0,0.00292622,0.000693487,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.997967,1.002038,4426,776,399,385,93,4417,0,1595,44,1414,4417,3412,2316,297,1251,724,6481,0,0,7043,618,1638,2575,776,5063,4996,397,3650,14644,7283,4996,0,0,0,5704,0,5232,1826,845,0,0,2551,4,5,0,0,0,0,0,833,244,1932,1002,8005,4718,763,6233,1455,258,3443,9138,11903,52,27,88,63,0,4032,1283,50,13,37,1269,10300,952,721,12,37,1673,49,34,15,1639,13399,6373,662,3951,677
GigaBoomConfig-edn.riscv,0,22,0.950513,0.00389489,0.0572172,0.016745,0.00762973,0.00241008,0.000246293,6.32E-05,7.66E-05,4.19E-05,6.32E-05,1.39E-06,0.00330884,0.00307015,0.00399569,0.00330865,1.66E-10,0.000527291,3.85E-10,0.0195696,0.0158091,0.00122689,0.00245378,0.00011981,0,0,0.0167871,0.0059274,0.00592741,7.46E-09,0.00923796,0.00405586,0,0.0051821,0.00149392,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,2.449836,0.408191,138457,1486,10074,9894,434,339197,0,121677,384,8948,339197,135601,153450,9615,44272,45047,352404,0,0,362691,10627,81520,156313,31920,343891,342831,9824,136971,865859,357248,342831,0,0,0,384390,0,344312,124537,32016,0,0,173726,14031,1,0,0,0,0,0,53267,6857,124844,32581,454160,308171,763,350872,61145,5763,298193,461451,697677,216,94,346,224,0,14336,52875,123,19,104,52855,423103,71469,31773,160,350,103242,510,398,112,102844,826048,444513,662,301672,677
GigaBoomConfig-expint.riscv,0,23,0.950513,0.00389489,0.0221978,0.00870975,0.00428309,0.00213722,0.000218173,5.32E-05,6.59E-05,3.57E-05,5.32E-05,1.02E-05,0.00103295,0.000958438,0.00149109,0.0011582,1.83E-09,0.000173134,4.26E-09,0.00552366,0.00429708,0.000382235,0.000764469,0.00011981,0,0,0.00635348,0.0017849,0.00178499,8.26E-08,0.00382145,0.00174205,0,0.00207941,0.000619327,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.679191,1.47234,12509,801,760,706,127,8496,0,3077,256,1924,8496,11388,4168,798,1707,7283,11100,0,0,11876,1247,8297,4642,1205,9554,9485,944,11708,35882,12375,9485,0,0,0,14397,0,9711,3469,1249,0,0,4363,222,407,0,0,0,0,0,1768,680,3578,1421,14409,8664,763,10830,2115,5429,6863,21563,21163,51,28,84,64,0,4032,2563,50,11,39,2551,20542,1366,1091,12,15,2457,27,15,12,2442,19668,12664,662,7715,677
