config-benchmark,Config_ID,Bench_ID,Int Power,Switch Power,Leak Power,Total Power,Dynamic Power,McPAT.Leakage,McPAT.Dynamic,McPAT.Total,McPTA.Error,McPAT.MAPE
GigaBoomConfig-matrix_mult.riscv,0,41,33.6,7.19,6.84,47.63,40.79,3.89489,51.8618,55.75669,17.06%,17.06%
GigaBoomConfig-median.riscv,0,42,30.4,5.54,6.75,42.69,35.94,3.89489,32.2455,36.14039,-15.34%,15.34%
GigaBoomConfig-mergesort.riscv,0,43,39.8,12,6.86,58.66,51.8,3.89489,65.1734,69.06829,17.74%,17.74%
GigaBoomConfig-minver.riscv,0,44,26.3,2.58,6.67,35.55,28.88,3.89489,30.7582,34.65309,-2.52%,2.52%
GigaBoomConfig-multiply.riscv,0,45,33,6.76,6.77,46.53,39.76,3.89489,40.9081,44.80299,-3.71%,3.71%
GigaBoomConfig-ndes.riscv,0,46,31.5,6.36,6.77,44.63,37.86,3.89489,58.2339,62.12879,39.21%,39.21%
GigaBoomConfig-petrinet.riscv,0,47,27.4,3.43,6.68,37.51,30.83,3.89489,37.1433,41.03819,9.41%,9.41%
GigaBoomConfig-prime.riscv,0,48,27,2.95,6.72,36.67,29.95,3.89489,37.7316,41.62649,13.52%,13.52%
GigaBoomConfig-qsort.riscv,0,49,33.5,7.67,6.84,48.01,41.17,3.89489,41.379,45.27389,-5.70%,5.70%
GigaBoomConfig-qurt.riscv,0,50,29,4.16,6.85,40.01,33.16,3.89489,37.7354,41.63029,4.05%,4.05%
GigaBoomConfig-recursion.riscv,0,51,26.8,2.06,6.65,35.51,28.86,3.89489,34.7788,38.67369,8.91%,8.91%
GigaBoomConfig-rsort.riscv,0,52,37,9.65,6.79,53.44,46.65,3.89489,53.0058,56.90069,6.48%,6.48%
GigaBoomConfig-rv64ua-ps-amoadd_d_200,0,53,27.7,3.39,6.72,37.81,31.09,3.89489,24.1721,28.06699,-25.77%,25.77%
GigaBoomConfig-rv64ud-ps-fclass_200,0,54,36.6,7.86,6.71,51.17,44.46,3.89489,45.6166,49.51149,-3.24%,3.24%
GigaBoomConfig-rv64ud-ps-move_200,0,55,41.7,11.2,6.85,59.75,52.9,3.89489,37.9732,41.86809,-29.93%,29.93%
GigaBoomConfig-rv64ud-ps-structural_200,0,56,38.5,8.28,6.73,53.51,46.78,3.89489,46.834,50.72889,-5.20%,5.20%
GigaBoomConfig-rv64ui-ps-add_200,0,57,34.2,7.57,6.71,48.48,41.77,3.89489,33.6879,37.58279,-22.48%,22.48%
GigaBoomConfig-rv64ui-ps-auipc_200,0,58,34.7,5.71,6.69,47.1,40.41,3.89489,42.131,46.02589,-2.28%,2.28%
GigaBoomConfig-rv64ui-ps-bne_200,0,59,33.8,7.21,6.69,47.7,41.01,3.89489,46.4968,50.39169,5.64%,5.64%
GigaBoomConfig-rv64ui-ps-fence_i_200,0,60,28.8,3,6.71,38.51,31.8,3.89489,35.351,39.24589,1.91%,1.91%
GigaBoomConfig-rv64ui-ps-jal_200,0,61,32.4,4.39,6.65,43.44,36.79,3.89489,45.1926,49.08749,13.00%,13.00%
GigaBoomConfig-rv64ui-ps-jalr_200,0,62,34.1,6.55,6.68,47.33,40.65,3.89489,40.4133,44.30819,-6.38%,6.38%
GigaBoomConfig-rv64ui-ps-lui_200,0,63,33,5.21,6.67,44.88,38.21,3.89489,38.9224,42.81729,-4.60%,4.60%
GigaBoomConfig-rv64ui-ps-lw_200,0,64,34.7,3.47,7.76,45.93,38.17,3.89489,44.8779,48.77279,6.19%,6.19%
GigaBoomConfig-rv64ui-ps-ori_200,0,65,34.6,7.67,6.72,48.99,42.27,3.89489,35.4381,39.33299,-19.71%,19.71%
GigaBoomConfig-rv64ui-ps-slli_200,0,66,34.4,7.48,6.71,48.59,41.88,3.89489,36.3732,40.26809,-17.13%,17.13%
GigaBoomConfig-rv64ui-ps-slt_200,0,67,34.1,7.57,6.7,48.37,41.67,3.89489,37.4639,41.35879,-14.49%,14.49%
GigaBoomConfig-rv64ui-ps-sra_200,0,68,35,8.4,6.75,50.15,43.4,3.89489,36.2667,40.16159,-19.92%,19.92%
