config-benchmark,Config_ID,Bench_ID,Int Power,Switch Power,Leak Power,Total Power,Dynamic Power,McPAT.Leakage,McPAT.Dynamic,McPAT.Total,McPTA.Error,McPAT.MAPE
GigaBoomSEConfig-bitonic.riscv,2,9,31.1,4.77,6.1,41.97,35.87,3.69551,44.6382,48.33371,15.16%,15.16%
GigaBoomSEConfig-branchy.riscv,2,10,28.8,2.92,6.06,37.78,31.72,3.69551,19.9761,23.67161,-37.34%,37.34%
GigaBoomSEConfig-branchy_large.riscv,2,11,28.8,2.92,6.06,37.78,31.72,3.69551,19.9486,23.64411,-37.42%,37.42%
GigaBoomSEConfig-bsort.riscv,2,12,37,9.69,6.18,52.87,46.69,3.69551,60.6248,64.32031,21.66%,21.66%
GigaBoomSEConfig-bubblesort.riscv,2,13,35.3,8.44,6.21,49.95,43.74,3.69551,60.9266,64.62211,29.37%,29.37%
GigaBoomSEConfig-cnt.riscv,2,14,30.2,4.3,6.11,40.61,34.5,3.69551,26.006,29.70151,-26.86%,26.86%
GigaBoomSEConfig-complex_updates.riscv,2,15,28.8,3.02,6.08,37.9,31.82,3.69551,30.4375,34.13301,-9.94%,9.94%
GigaBoomSEConfig-compress.riscv,2,16,29.2,3.57,6.08,38.85,32.77,3.69551,39.5416,43.23711,11.29%,11.29%
GigaBoomSEConfig-countnegative.riscv,2,17,30.2,4.21,6.13,40.54,34.41,3.69551,31.4911,35.18661,-13.21%,13.21%
GigaBoomSEConfig-cover.riscv,2,18,28.8,2.92,6.07,37.79,31.72,3.69551,28.121,31.81651,-15.81%,15.81%
GigaBoomSEConfig-crc.riscv,2,19,33.3,6.35,6.14,45.79,39.65,3.69551,35.6984,39.39391,-13.97%,13.97%
GigaBoomSEConfig-dhrystone.riscv,2,20,35.1,7.99,6.15,49.24,43.09,3.69551,54.4993,58.19481,18.19%,18.19%
GigaBoomSEConfig-duff.riscv,2,21,29,3.11,6.07,38.18,32.11,3.69551,31.9276,35.62311,-6.70%,6.70%
GigaBoomSEConfig-edn.riscv,2,22,37.5,9.35,6.18,53.03,46.85,3.69551,53.8038,57.49931,8.43%,8.43%
GigaBoomSEConfig-expint.riscv,2,23,29.1,3.37,6.16,38.63,32.47,3.69551,21.1533,24.84881,-35.67%,35.67%
