config-benchmark,GT.Leakage,GT.Dynamic,GT.Total,McPAT-7nm.Leakage,McPAT-7nm.Dynamic,McPAT-7nm.Total,ML.Leakage,ML-Shuffle.Dynamic,ML-Shuffle.Total,ML-Config.Dynamic,ML-Config.Total,ML-Benchmark.Dynamic,ML-Benchmark.Total
GigaBoomConfig-frac.riscv,6.75,32.62,39.37,3.89489,38.1076,42.00249,6.767038202477181,32.52241134643555,39.28944954891273,35.6532096862793,42.42024788875648,31.850738525390625,38.617776727867806
GigaBoomConfig-h264_dec.riscv,6.74,38.6,45.34,3.89489,45.3777,49.27259,6.767038202477181,40.4394645690918,47.20650277156898,41.844940185546875,48.611978388024056,38.732398986816406,45.49943718929359
GigaBoomConfig-hello_world.riscv,6.83,41.05,47.88,3.89489,44.9755,48.87039,6.767038202477181,41.60651779174805,48.37355599422523,44.09529113769531,50.862329340172494,34.69209671020508,41.45913491268226
GigaBoomConfig-hello_world_large.riscv,6.84,41.94,48.78,3.89489,46.541,50.43589,6.767038202477181,42.1771354675293,48.94417367000648,44.29356384277344,51.06060204525062,40.64691925048828,47.41395745296546
GigaBoomConfig-huff_dec.riscv,6.81,43.47,50.28,3.89489,52.0632,55.95809,6.767038202477181,43.41032791137695,50.177366113854134,46.03726577758789,52.80430398006507,41.161705017089844,47.928743219567025
GigaBoomConfig-iir.riscv,6.66,28.6,35.26,3.89489,31.5629,35.45779,6.767038202477181,28.752103805541992,35.51914200801917,32.043052673339844,38.810090875817025,28.073312759399414,34.840350961876595
GigaBoomConfig-insertsort.riscv,6.66,28.49,35.15,3.89489,32.2268,36.12169,6.767038202477181,29.32765769958496,36.09469590206214,31.91586685180664,38.68290505428382,28.6539306640625,35.42096886653968
GigaBoomConfig-jfdctint.riscv,6.67,28.97,35.64,3.89489,26.536,30.43089,6.767038202477181,29.213069915771484,35.980108118248666,32.301536560058594,39.068574762535775,28.963550567626953,35.730588770104134
GigaBoomConfig-levenshtein.riscv,6.78,44.29,51.07,3.89489,54.9121,58.80699,6.767038202477181,45.93001174926758,52.69704995174476,46.829383850097656,53.59642205257484,43.02610397338867,49.79314217586585
GigaBoomConfig-lift.riscv,6.8,52.1,58.9,3.89489,31.7227,35.61759,6.767038202477181,54.17655944824219,60.94359765071937,51.723480224609375,58.490518427086556,35.57612609863281,42.343164301109994
GigaBoomConfig-lms.riscv,6.88,41.22,48.1,3.89489,46.2269,50.12179,6.767038202477181,41.274139404296875,48.041177606774056,44.310523986816406,51.07756218929359,39.368133544921875,46.135171747399056
GigaBoomConfig-ludcmp.riscv,6.66,27.46,34.12,3.89489,30.8656,34.76049,6.767038202477181,28.123302459716797,34.89034066219398,30.092004776000977,36.85904297847816,31.851543426513672,38.61858162899085
GigaBoomConfig-matrix_mult.riscv,6.84,40.79,47.63,3.89489,51.8618,55.75669,6.767038202477181,42.70846939086914,49.47550759334632,44.135318756103516,50.9023569585807,35.681907653808594,42.448945856285775
GigaBoomConfig-median.riscv,6.75,35.94,42.69,3.89489,32.2455,36.14039,6.767038202477181,35.450233459472656,42.21727166194984,38.53936767578125,45.30640587825843,35.82564163208008,42.59267983455726
GigaBoomConfig-mergesort.riscv,6.86,51.8,58.66,3.89489,65.1734,69.06829,6.767038202477181,53.51526641845703,60.28230462093421,55.405879974365234,62.172918176842416,43.489200592041016,50.2562387945182
GigaBoomConfig-minver.riscv,6.67,28.88,35.55,3.89489,30.7582,34.65309,6.767038202477181,28.757047653198242,35.52408585567542,32.337032318115234,39.104070520592416,28.804550170898438,35.57158837337562
GigaBoomConfig-multiply.riscv,6.77,39.76,46.53,3.89489,40.9081,44.80299,6.767038202477181,39.914703369140625,46.681741571617806,40.25392150878906,47.020959711266244,32.75172805786133,39.51876626033851
GigaBoomConfig-ndes.riscv,6.77,37.86,44.63,3.89489,58.2339,62.12879,6.767038202477181,40.60777282714844,47.37481102962562,39.78104782104492,46.5480860235221,47.09453582763672,53.8615740301139
GigaBoomConfig-petrinet.riscv,6.68,30.83,37.51,3.89489,37.1433,41.03819,6.767038202477181,30.64487648010254,37.41191468257972,34.01420211791992,40.7812403203971,33.470767974853516,40.2378061773307
GigaBoomConfig-prime.riscv,6.72,29.95,36.67,3.89489,37.7316,41.62649,6.767038202477181,31.641164779663086,38.40820298214027,32.34599685668945,39.113035059166634,32.05811309814453,38.82515130062171
GigaBoomConfig-qsort.riscv,6.84,41.17,48.01,3.89489,41.379,45.27389,6.767038202477181,34.70120620727539,41.46824440975257,34.84697723388672,41.6140154363639,36.331912994384766,43.09895119686195
GigaBoomConfig-qurt.riscv,6.85,33.16,40.01,3.89489,37.7354,41.63029,6.767038202477181,35.295589447021484,42.062627649498666,36.325435638427734,43.092473840904916,35.95368194580078,42.72072014827796
GigaBoomConfig-recursion.riscv,6.65,28.86,35.51,3.89489,34.7788,38.67369,6.767038202477181,28.935827255249023,35.702865457726205,32.47129821777344,39.23833642025062,29.294939041137695,36.061977243614876
GigaBoomConfig-rsort.riscv,6.79,46.65,53.44,3.89489,53.0058,56.90069,6.767038202477181,46.73394775390625,53.50098595638343,50.969242095947266,57.73628029842445,40.48616027832031,47.253198480797494
GigaBoomConfig-rv64ua-ps-amoadd_d_200,6.72,31.09,37.81,3.89489,24.1721,28.06699,6.767038202477181,33.08232879638672,39.8493669988639,34.37510299682617,41.14214119930335,41.17378616333008,47.94082436580726
GigaBoomConfig-rv64ud-ps-fclass_200,6.71,44.46,51.17,3.89489,45.6166,49.51149,6.767038202477181,43.85869598388672,50.6257341863639,48.588829040527344,55.355867243004525,42.944671630859375,49.711709833336556
GigaBoomConfig-rv64ud-ps-move_200,6.85,52.9,59.75,3.89489,37.9732,41.86809,6.767038202477181,48.04015350341797,54.80719170589515,47.811927795410156,54.57896599788734,42.582305908203125,49.349344110680306
GigaBoomConfig-rv64ud-ps-structural_200,6.73,46.78,53.51,3.89489,46.834,50.72889,6.767038202477181,46.913265228271484,53.680303430748666,48.377113342285156,55.14415154476234,42.6225471496582,49.389585352135384
GigaBoomConfig-rv64ui-ps-add_200,6.71,41.77,48.48,3.89489,33.6879,37.58279,6.767038202477181,43.58584976196289,50.35288796444007,44.75647735595703,51.52351555843421,47.139305114746094,53.906343317223275
GigaBoomConfig-rv64ui-ps-auipc_200,6.69,40.41,47.1,3.89489,42.131,46.02589,6.767038202477181,41.13102340698242,47.8980616094596,43.093040466308594,49.860078668785775,39.02491760253906,45.791955805016244
GigaBoomConfig-rv64ui-ps-bne_200,6.69,41.01,47.7,3.89489,46.4968,50.39169,6.767038202477181,41.65088653564453,48.41792473812171,43.8592414855957,50.626279688072884,41.36096954345703,48.12800774593421
GigaBoomConfig-rv64ui-ps-fence_i_200,6.71,31.8,38.51,3.89489,35.351,39.24589,6.767038202477181,34.15462112426758,40.92165932674476,34.65177536010742,41.4188135625846,38.08045959472656,44.847497797203744
GigaBoomConfig-rv64ui-ps-jal_200,6.65,36.79,43.44,3.89489,45.1926,49.08749,6.767038202477181,38.39845275878906,45.165490961266244,39.97096252441406,46.738000726891244,37.12954330444336,43.89658150692054
GigaBoomConfig-rv64ui-ps-jalr_200,6.68,40.65,47.33,3.89489,40.4133,44.30819,6.767038202477181,40.73709487915039,47.50413308162757,43.77564239501953,50.54268059749671,39.50212860107422,46.2691668035514
GigaBoomConfig-rv64ui-ps-lui_200,6.67,38.21,44.88,3.89489,38.9224,42.81729,6.767038202477181,38.448726654052734,45.215764856529916,41.270538330078125,48.037576532555306,42.07359313964844,48.84063134212562
GigaBoomConfig-rv64ui-ps-lw_200,7.76,38.17,45.93,3.89489,44.8779,48.77279,6.767038202477181,43.7508659362793,50.51790413875648,45.55546951293945,52.322507715416634,44.130924224853516,50.8979624273307
GigaBoomConfig-rv64ui-ps-ori_200,6.72,42.27,48.99,3.89489,35.4381,39.33299,6.767038202477181,42.376922607421875,49.143960809899056,45.24663162231445,52.013669824791634,42.16249084472656,48.929529047203744
GigaBoomConfig-rv64ui-ps-slli_200,6.71,41.88,48.59,3.89489,36.3732,40.26809,6.767038202477181,41.54926681518555,48.31630501766273,44.852813720703125,51.619851923180306,41.08085632324219,47.84789452571937
GigaBoomConfig-rv64ui-ps-slt_200,6.7,41.67,48.37,3.89489,37.4639,41.35879,6.767038202477181,41.62641143798828,48.39344964046546,44.67741394042969,51.44445214290687,43.64793395996094,50.41497216243812
GigaBoomConfig-rv64ui-ps-sra_200,6.75,43.4,50.15,3.89489,36.2667,40.16159,6.767038202477181,43.66999816894531,50.437036371422494,46.13983917236328,52.90687737484046,41.078914642333984,47.845952844811166
GigaBoomConfig-rv64ui-ps-sw_200,6.75,43.54,50.29,3.89489,45.1009,48.99579,6.767038202477181,40.7605094909668,47.52754769344398,46.78827667236328,53.55531487484046,41.85315704345703,48.62019524593421
GigaBoomConfig-rv64ui-ps-xori_200,6.72,42.27,48.99,3.89489,36.0305,39.92539,6.767038202477181,43.03513717651367,49.80217537899085,45.25469970703125,52.02173790950843,41.41123580932617,48.17827401180335
GigaBoomConfig-rv64um-ps-mulw_200,6.7,41.3,48.0,3.89489,42.7051,46.59999,6.767038202477181,43.333553314208984,50.100591516686166,44.44016647338867,51.20720467586585,44.646507263183594,51.413545465660775
GigaBoomConfig-select.riscv,6.67,29.68,36.35,3.89489,35.1076,39.00249,6.767038202477181,30.071727752685547,36.83876595516273,32.903541564941406,39.67057976741859,28.54677963256836,35.31381783504554
GigaBoomConfig-spmv.riscv,6.72,34.7,41.42,3.89489,36.6717,40.56659,6.767038202477181,33.064178466796875,39.831216669274056,33.29277801513672,40.0598162176139,35.99425506591797,42.76129326839515
GigaBoomConfig-sqrt.riscv,6.86,33.14,40.0,3.89489,38.1302,42.02509,6.767038202477181,33.65541458129883,40.42245278377601,36.16374206542969,42.93078026790687,35.7910270690918,42.55806527156898
